"Facility ID","Lust ID","Confirmed Release","Cleanup Complete","Enforcement Effective","Enforcement Termination",Ec,Delete
3-010122,1246,02/26/2002,09/17/2004,03/05/2002, ,No,
3-010128,309,04/08/1996,06/25/1996, , ,No,
3-010128,1023,06/09/1998,03/02/1999, , ,No,
3-010129,310,06/30/1992,06/30/1992, , ,No,
3-010131,358,06/30/1992,06/30/1992, , ,No,
3-010132,311,06/30/1992,06/30/1992, , ,No,
3-010133,312,09/09/1992,03/01/1993, , ,No,
3-010135,1080,11/16/1998,09/28/2015,12/08/2006, ,No,
3-010135,1315,04/30/2002,09/28/2015,12/08/2006, ,No,
3-010136,303,03/25/1994,08/12/1994, , ,No,
3-010138,313,12/04/1989,06/30/1992, , ,No,
3-010139,23,06/30/1992,03/20/2001,06/30/1992,03/20/2001,No,
3-010139,1369,08/24/2006,04/11/2016,08/24/2006,04/11/2016,Yes,
3-010140,1144,07/02/2004,07/02/2004, , ,No,
3-010141,314,08/28/1990,11/01/1992, , ,No,
3-010142,315,03/21/1991,07/01/1995, , ,No,
3-010143,316,09/26/1994,08/17/1996, , ,No,
3-010143,317,07/01/1995,07/01/1995, , ,No,
3-010143,318,07/08/1996,01/22/1997, , ,No,
3-010143,319,07/01/1992,03/01/1995, , ,No,
3-010144,320,05/01/1993,10/18/1996, , ,No,
3-010148,321,04/08/1992,05/29/1992, , ,No,
3-010155,24,12/23/1997,05/01/2007,12/08/2006, ,No,
3-010158,25,12/02/1993,04/15/1994, , ,No,
3-010159,322,08/10/1993,08/24/1993, , ,No,
3-010160,856,07/22/1998,02/20/2002, , ,No,
3-010161,26,02/01/1993,06/20/2003, , ,No,
3-010163,323,08/08/1990,06/30/1993, , ,No,
3-010164,27,08/18/1992,07/23/1999, , ,No,
3-010168,308,09/05/1996,09/05/1996, , ,No,
3-010170,958,03/05/1998,05/15/2002, , ,No,
3-010174,324,07/13/1990,07/13/1990, , ,No,
3-010175,283,07/01/1995,07/01/1995, , ,No,
3-010179,284,10/02/1996,10/27/1997, , ,No,
3-010181,858,09/11/1998,10/14/1998, , ,No,
3-010183,1268,08/06/1999, ,08/06/1999, ,No,
3-010186,285,07/13/1992,07/16/1992, , ,No,
3-010191,28,03/01/1993,03/24/2003, , ,No,
3-010192,2251,01/02/1997,01/03/1997, , ,No,
3-010200,1151,12/27/2004,05/29/2007,12/08/2006, ,No,
3-010201,2254,12/18/2013,12/23/2013,10/08/2013, ,No,
3-010204,30,07/02/1995,01/12/2001, , ,No,
3-010205,286,06/30/1992,06/30/1992, , ,No,
3-010207,2374,04/06/1990,06/30/1992, , ,No,
3-010207,2376,02/05/1993,12/08/1998, , ,No,
3-010207,2389,10/25/1990,10/16/1991, , ,No,
3-010211,288,06/30/1992,06/30/1992, , ,No,
3-010213,435,03/08/1990,05/18/1990, , ,No,
3-010215,436,09/01/1993,03/01/1994, , ,No,
3-010216,31,05/26/1992,01/04/2007,12/04/2006, ,No,
3-010216,1387,05/23/2006,01/04/2007,05/23/2006, ,No,
3-010216,1568,09/23/2008,11/17/2008,09/23/2008, ,No,
3-010218,1090,10/08/1998,02/17/1999, , ,No,
3-010220,437,09/16/1996,09/16/1996, , ,No,
3-010224,438,04/01/1993,05/16/1994, , ,No,
3-010225,439,12/31/1991,08/02/1995, , ,No,
3-010228,32,07/01/1995,12/29/1997, , ,No,
3-010231,33,05/11/1994,12/09/1998,01/31/1995,09/26/2001,No,
3-010231,1678,06/24/2009,08/15/2017,06/25/2009,08/15/2017,No,
3-010231,2284,05/03/2016,08/15/2017, , ,No,
3-010235,1121,06/19/2003,09/06/2016,06/19/2003,09/09/2016,Yes,
3-010239,440,02/02/1995,03/21/1995, , ,No,
3-010245,441,05/14/1991,05/30/1994, , ,No,
3-010248,1150,12/27/2004,12/22/2016,12/27/2004,12/22/2016,Yes,
3-010249,2191,08/07/2012,08/02/2016, , ,No,
3-010252,34,07/28/1995,12/07/1998, , ,No,
3-010254,442,07/14/1993,07/14/1993, , ,No,
3-010254,1891,04/06/2011,06/27/2011,04/06/2011, ,No,
3-010258,443,12/10/1991,03/01/1995, , ,No,
3-010262,444,01/12/1995,01/31/1995, , ,No,
3-010275,1263,04/15/1999,08/17/1999, , ,No,
3-010276,35,10/20/1997,11/21/2001, , ,No,
3-010282,2355,01/14/2020, ,12/15/2023, ,No,
3-010287,72,07/08/1996,06/23/2009,07/18/2006,12/27/2022,Yes,
3-010288,73,10/17/1997,11/25/2003, , ,No,
3-010288,968,03/05/1998,11/25/2003, , ,No,
3-010290,74,08/05/1996,05/21/1999, , ,No,
3-010291,954,09/10/1997,10/15/1997, , ,No,
3-010292,75,02/17/1992,09/16/1999, , ,No,
3-010292,1123,12/18/2002,07/17/2003, , ,No,
3-010297,1312,06/21/2000,09/12/2000,06/22/2000, ,No,
3-010299,76,10/09/1991,02/22/2019,06/30/1992,02/22/2019,No,
3-010301,2256,12/31/1991,12/09/1992, , ,No,
3-010304,445,01/22/1990,11/15/1994, , ,No,
3-010306,352,06/30/1992,06/30/1992, , ,No,
3-010313,446,01/28/1992,03/01/1993, , ,No,
3-010314,1157,10/28/1998,06/23/2000, , ,No,
3-010315,447,12/20/1993,08/16/1995, , ,No,
3-010316,1281,11/01/1999,12/29/2008,06/12/2007, ,No,
3-010317,77,12/16/1991,06/07/2002, , ,No,
3-010317,1871,03/17/2011,08/26/2013, , ,No,
3-010319,965,01/14/1998,10/15/1999,10/15/1999, ,No,
3-010320,1133,11/24/2003,01/06/2004, , ,No,
3-010321,78,06/30/1992,02/05/2002, , ,No,
3-010322,2338,03/19/2019,03/23/2021,03/19/2019,03/23/2021,No,
3-010323,1809,05/04/2010,07/07/2010, , ,No,
3-010326,448,07/01/1993,10/30/1993, , ,No,
3-010327,860,09/25/1998,12/03/2003, , ,No,
3-010328,1232,08/02/2001,07/02/2007,06/11/2007, ,No,
3-010329,1098,02/09/1999,04/19/2000, , ,No,
3-010330,1824,06/09/2010,12/15/2010,06/09/2010, ,No,
3-010335,449,05/29/1992,03/01/1993, , ,No,
3-010338,1973,07/15/2011,11/28/2011, , ,No,
3-010339,450,06/18/1992,06/19/1992, , ,No,
3-010341,1230,07/27/2001,02/19/2009, , ,No,
3-010348,79,11/16/1990,07/23/1999, , ,No,
3-010349,1174,06/25/1992,01/10/2012, , ,No,
3-010350,953,11/19/1997,04/05/2001, , ,No,
3-010350,2366,10/22/2020,01/26/2021,10/22/2020,01/26/2021,No,
3-010351,1082,11/17/1998,09/26/2000, , ,No,
3-010351,1390,02/02/2007,06/06/2007, , ,No,
3-010354,451,11/10/1994,08/22/1996, , ,No,
3-010356,452,10/26/1993,04/24/1995, , ,No,
3-010357,80,02/21/1995,05/30/2012,01/05/2007,05/30/2012,Yes,
3-010357,1242,09/21/2000,05/30/2012,05/29/2002,05/30/2012,Yes,
3-010357,2234,12/10/2012,05/26/2017,12/10/2012,05/26/2017,Yes,
3-010358,453,05/14/1994,08/05/1994, , ,No,
3-010360,454,01/01/1993,11/01/1993, , ,No,
3-010361,2260,06/02/1992,12/14/1992, , ,No,
3-010364,455,08/06/1991,06/30/1992, , ,No,
3-010369,1354,10/24/2002,11/21/2005, , ,No,
3-010371,81,10/08/1996,02/12/1998, , ,No,
3-010375,456,08/01/1993,11/15/1993, , ,No,
3-010377,1103,03/25/1999,08/08/2000, , ,No,
3-010381,457,05/26/1992,07/01/1992, , ,No,
3-010384,857,08/10/1998,02/05/1999, , ,No,
3-010387,2282,04/13/2016,10/19/2016,04/13/2016,10/19/2016,No,
3-010394,458,06/05/1992,10/01/1992, , ,No,
3-010396,2409,06/07/2023,09/07/2023,08/21/2023,09/07/2023,No,
3-010399,234,12/09/1991,05/11/1995, , ,No,
3-010400,1099,01/13/1999,09/05/2001, , ,No,
3-010407,460,02/21/1992,02/27/1996, , ,No,
3-010409,461,01/29/1991,10/01/1993, , ,No,
3-010412,17,11/22/1993,01/09/2003, , ,No,
3-010412,18,02/17/1994,08/18/1999, , ,No,
3-010412,19,02/15/1994,10/09/2003, , ,No,
3-010412,251,12/03/1993,03/06/1997, , ,No,
3-010412,289,11/01/1993,11/01/1993, , ,No,
3-010412,306,12/01/1994,03/06/1997, , ,No,
3-010413,82,09/06/1996,03/03/2005, , ,No,
3-010413,1352,09/09/2002,03/03/2005,01/01/1999, ,No,
3-010416,464,02/12/1991,06/30/1992, , ,No,
3-010417,1046,05/08/1990,12/06/1991, , ,No,
3-010418,1784,03/19/2010,04/28/2010, , ,No,
3-010419,1096,03/09/1999,12/08/2011, , ,No,
3-010419,1430,11/30/2007,12/08/2011, , ,No,
3-010419,2283,04/08/2016,09/21/2018,04/08/2016,09/21/2018,No,
3-010423,1189,12/01/2000,04/14/2001, , ,No,
3-010424,2303,01/26/2017,06/30/2017,01/26/2017,06/29/2017,No,
3-010428,1183,10/20/2000,09/02/2003, , ,No,
3-010430,304,01/12/1995,02/21/1996, , ,No,
3-010430,1159,10/02/1998,12/13/2000, , ,No,
3-010431,1320,04/04/2005,05/23/2008,12/08/2006, ,No,
3-010439,2272,11/02/2015,11/30/2015, , ,No,
3-010443,472,01/28/1992,10/18/1996, , ,No,
3-010446,1267,07/15/1999,08/07/2002, , ,No,
3-010450,359,05/20/1996,06/07/1996, , ,No,
3-010452,465,08/14/1991,06/30/1992, , ,No,
3-010460,83,06/04/1990,08/19/1999, , ,No,
3-010460,853,09/22/1998,09/17/1999, , ,No,
3-010465,2276,12/11/2015,05/06/2016,01/25/2016,05/06/2016,No,
3-010466,84,04/10/1990,11/28/2018,04/10/1990,11/28/2018,No,
3-010469,1298,10/22/1999,08/21/2000, , ,No,
3-010471,85,01/10/1997,08/28/2001, , ,No,
3-010474,2392,03/31/2022,06/14/2022,03/31/2022,06/14/2022,No,
3-010475,1991,09/30/2011,01/09/2012, , ,No,
3-010481,466,06/03/1996,06/25/1996, , ,No,
3-010481,1573,09/25/2008,05/27/2009, , ,No,
3-010481,2231,10/30/2012,10/10/2013, , ,No,
3-010483,86,08/04/1997,01/18/2002,04/30/1998,07/11/2003,No,
3-010483,1313,03/14/2000,09/12/2000,03/14/2000,08/31/2000,No,
3-010483,1417,06/28/2007,09/19/2007,06/26/2007,09/20/2007,No,
3-010483,2111,12/20/2011,08/29/2017,12/20/2011,08/29/2017,No,
3-010483,2420,06/04/2024, ,06/04/2024, ,No,
3-010488,1548,08/14/2008,11/14/2008, , ,No,
3-010490,467,06/11/1990,09/01/1994, , ,No,
3-010491,468,06/30/1992,06/30/1992, , ,No,
3-010496,469,05/01/1994,08/22/1995, , ,No,
3-010500,347,03/30/1992,03/10/1998, , ,No,
3-010502,1299,11/16/1999,02/23/2000, , ,No,
3-010505,1066,06/08/1990,02/20/1997, , ,No,
3-010506,470,07/01/1993,03/06/1994, , ,No,
3-010507,471,11/21/1990,06/30/1992, , ,No,
3-010508,473,06/01/1993,12/18/1997, , ,No,
3-010509,474,11/18/1993,05/01/1994, , ,No,
3-010513,235,06/30/1992,07/26/1990, , ,No,
3-010514,475,02/01/1993,05/01/1996, , ,No,
3-010516,476,06/08/1990,06/30/1992, , ,No,
3-010601,477,04/04/1996,03/03/1997, , ,No,
3-010602,13,06/30/1992,10/16/2003, , ,No,
3-010607,478,04/11/1991,11/07/1995, , ,No,
3-010608,2244,04/14/1992,03/31/1993, , ,No,
3-010611,952,11/05/1997,01/14/2003, , ,No,
3-010611,1119,05/08/2003,09/09/2003, , ,No,
3-010614,237,07/01/1992,07/01/1992, , ,No,
3-010616,479,02/19/1992,07/01/1992, , ,No,
3-010617,480,02/28/1992,10/15/1994, , ,No,
3-010618,481,12/12/1991,11/16/1995, , ,No,
3-010621,482,09/11/1991,02/07/1996, , ,No,
3-010622,483,06/24/1991,06/24/1991, , ,No,
3-010624,484,06/04/1990,06/30/1992, , ,No,
3-010626,2250,06/27/1991,07/11/1991, , ,No,
3-010627,87,02/05/1996,06/13/2001,06/30/1992, ,No,
3-010632,485,07/01/1995,07/01/1995, , ,No,
3-010632,486,06/30/1992,06/30/1992, , ,No,
3-010633,487,12/30/1991,03/01/1993, , ,No,
3-010635,488,10/21/1991,06/30/1992, , ,No,
3-010636,297,12/17/1993,12/28/1993, , ,No,
3-010636,489,05/01/1993,01/26/1994, , ,No,
3-010637,1073,10/09/1998,06/03/1999, , ,No,
3-010638,490,06/30/1992,06/30/1992, , ,No,
3-010639,88,10/16/1991,12/13/2006, , ,No,
3-010640,89,03/30/1992, ,01/19/1994, ,No,
3-010652,1025,04/29/1998,05/20/1998, , ,No,
3-010660,239,06/01/1993,10/01/1993, , ,No,
3-010661,491,02/06/1992,06/30/1992, , ,No,
3-010667,360,10/16/1989,03/29/1996, , ,No,
3-010668,36,12/10/1994,05/31/2006,01/16/2003,11/02/2006,Yes,
3-010669,1262,06/10/1999,08/06/2009,12/08/2006, ,No,
3-010671,492,11/04/1991,10/01/1992, , ,No,
3-010676,2235,02/21/2013,01/13/2017,02/21/2013,01/13/2017,Yes,
3-010680,1331,08/01/2005,04/09/2007,12/08/2006, ,No,
3-010681,37,02/13/1997,02/16/2000,04/14/1999, ,No,
3-010682,1076,12/02/1998,10/04/2006,12/18/1998, ,No,
3-010683,1097,02/05/1999,10/20/1999, , ,No,
3-010685,248,07/01/1993,10/12/1993, , ,No,
3-010686,493,05/01/1993,10/01/1993, , ,No,
3-010695,494,10/23/1992,11/01/1994, , ,No,
3-010709,495,01/19/1995,04/25/1996, , ,No,
3-010709,496,07/06/1993,09/03/1993, , ,No,
3-010711,14,10/28/1992,12/11/2002, , ,No,
3-010713,497,08/19/1993,12/12/1996, , ,No,
3-010714,462,06/30/1992,06/30/1992, , ,No,
3-010714,463,07/01/1993,02/12/1996, , ,No,
3-010714,1309,06/11/1999,06/11/1999, , ,No,
3-010717,296,03/14/1994,07/07/1994, , ,No,
3-010718,238,11/01/1992,10/31/1996, , ,No,
3-010720,498,05/01/1994,05/01/1994, , ,No,
3-010724,240,06/01/1993,10/30/1993, , ,No,
3-010725,361,03/20/1992,08/15/1995, , ,No,
3-010726,499,08/26/1994,10/15/1994, , ,No,
3-010727,298,06/01/1994,06/01/1994, , ,No,
3-010728,12,06/30/1992,07/13/2000, , ,No,
3-010732,1415,04/26/2007,06/22/2007, , ,No,
3-010736,38,07/25/1995,01/17/2020,07/25/1995,01/17/2020,No,
3-010737,500,04/20/1995,11/07/1995, , ,No,
3-010738,501,08/05/1996,01/13/1997, , ,No,
3-010739,502,08/01/1995,08/01/1995, , ,No,
3-010740,503,10/06/1995,09/01/1996, , ,No,
3-010748,504,07/01/1996,07/02/1996, , ,No,
3-010751,287,08/22/1990,10/01/1992, , ,No,
3-010758,1273,09/30/1997,09/07/1999, , ,No,
3-010762,1130,12/19/2003,12/30/2003, , ,No,
3-010762,1468,03/17/2008,06/16/2008, , ,No,
3-010763,348,01/27/1997,01/27/1997, , ,No,
3-010770,926,08/14/1991,06/30/1992, , ,No,
3-010771,924,10/14/1989,06/30/1992, , ,No,
3-010772,930,05/12/1992,09/01/1992, , ,No,
3-010773,929,06/11/1990,03/03/1997, , ,No,
3-010775,931,01/01/1993,04/13/1993, , ,No,
3-010776,928,03/12/1992,06/30/1992, , ,No,
3-010777,927,02/14/1990,06/30/1992, , ,No,
3-010778,911,12/09/1994,01/20/1995, , ,No,
3-010779,921,06/30/1992,06/30/1992, , ,No,
3-010780,922,12/08/1997,12/15/1997, , ,No,
3-010781,932,11/15/1993,05/15/1994, , ,No,
3-010782,923,10/26/1990,06/30/1992, , ,No,
3-010783,956,04/04/1998,07/17/1998, , ,No,
3-010787,1172,06/30/1992,01/09/2003, , ,No,
3-010788,1055,06/30/1992,02/22/1994, , ,No,
3-010791,1100,01/26/1999,04/18/2000, , ,No,
3-010797,2347,08/26/2019, ,03/08/2023, ,No,
3-010817,1235,02/15/2001,05/04/2001,02/15/2001, ,No,
3-010852,2402,01/25/2023,09/27/2024,01/31/2023,09/27/2024,No,
3-010854,2422,07/09/2024, ,12/26/2024, ,No,
3-010868,1663,05/07/2009,06/10/2009,05/07/2009, ,No,
3-010885,2243,05/23/1994,06/20/1995, , ,No,
3-010952,2388,01/01/1992,02/04/1997, , ,No,
3-010960,2418,12/19/2023,03/19/2024,12/19/2023,03/19/2024,No,
3-020004,1020,04/27/1998,09/23/2002,03/24/2008, ,No,
3-020009,39,09/20/1995,08/17/2009, , ,No,
3-020009,1382,11/07/2006,08/17/2009, , ,No,
3-020011,2258,10/29/1991,06/05/1992, , ,No,
3-020012,40,01/09/1996,11/18/2002, , ,No,
3-020013,41,06/08/1995,11/12/2002, , ,No,
3-020015,506,06/06/1994,07/15/1994, , ,No,
3-020020,1152,11/23/2004,12/23/2004, , ,No,
3-020023,1319,09/29/1991,03/16/2005, , ,No,
3-020025,507,06/30/1992,03/10/1995, , ,No,
3-020027,42,07/01/1990,08/30/2001, , ,No,
3-020028,362,09/01/1991,03/01/1992, , ,No,
3-020029,505,12/01/1990,03/01/1992, , ,No,
3-020602,1124,07/20/2003,09/20/2003,07/24/2003, ,No,
3-020608,43,01/26/1995,05/16/2016,01/26/1995,05/16/2016,No,
3-020608,1158,10/26/1998,05/16/2016,10/26/1998,05/16/2016,No,
3-080004,854,09/23/1998,08/06/1999,08/06/1999, ,No,
3-080005,420,07/18/1997,08/19/1997, , ,Yes,
3-080007,325,04/25/1995,07/10/1995, , ,No,
3-080010,421,06/20/1994,06/30/1994, , ,No,
3-080011,1047,04/29/1991,05/02/1991, , ,No,
3-080012,1156,11/03/1998,10/20/1999, , ,No,
3-080014,1419,08/02/2007,10/03/2007,08/02/2007, ,No,
3-080015,326,07/14/1997,07/21/1997, , ,No,
3-080017,419,11/01/1990,06/30/1992, , ,No,
3-080020,2343,05/19/2019,05/14/2021,05/22/2019,05/14/2021,Yes,
3-080022,327,06/30/1992,06/30/1992, , ,No,
3-080602,2257,02/05/1991,04/30/1993, , ,No,
3-140002,512,09/01/1990,06/30/1993, , ,No,
3-140002,519,08/09/1994,09/20/1996, , ,No,
3-140003,1231,08/07/2001,04/10/2003, , ,No,
3-140003,1703,08/19/2009,05/06/2010, , ,No,
3-140007,517,12/01/1990,09/01/1991, , ,No,
3-140008,959,02/24/1998,08/01/2023,05/12/1999,08/01/2023,Yes,
3-140011,1391,02/02/2007,07/23/2018,09/10/2007,09/25/2018,Yes,
3-140012,1184,10/30/2000,06/06/2002,10/31/2000, ,No,
3-140014,2356,11/12/2019,04/09/2020,03/11/2020,04/09/2020,No,
3-140015,1104,03/25/1999,10/20/2000, , ,No,
3-140019,183,09/13/1994,10/26/2004, , ,No,
3-140022,182,07/10/1990,06/16/2020,12/13/1990,06/17/2020,Yes,
3-140025,1911,03/29/2011,06/12/2012, , ,No,
3-140026,181,08/01/1990,09/17/2003,11/19/1990,08/06/2003,Yes,
3-140031,1355,11/06/2002,02/15/2006,01/06/2003,04/22/2019,No,
3-140036,184,06/01/1995,08/16/2000, , ,No,
3-140045,520,10/12/1991,05/01/1992, , ,No,
3-140048,2252,10/16/2013,07/27/2015,10/16/2013,07/24/2015,Yes,
3-140049,185,07/01/1991,01/05/2005, , ,No,
3-140050,1300,02/17/2000, ,02/17/2000, ,No,
3-140055,1021,05/21/1998,06/04/2007,12/08/2006, ,No,
3-140056,521,09/14/1992,09/14/1992, , ,No,
3-140060,852,07/14/1998,07/08/2010,08/12/1999,07/08/2010,Yes,
3-140061,186,03/08/1995,09/09/1999, , ,No,
3-140066,187,01/01/1990,07/25/2017,07/12/1994,07/25/2017,No,
3-140069,522,09/01/1990,09/01/1990, , ,No,
3-140072,523,09/01/1990,09/01/1990, , ,No,
3-140073,2237,04/19/2013, ,04/19/2013, ,No,
3-140074,524,12/12/1994,05/12/1995, , ,No,
3-140075,2419,02/29/2024,09/20/2024,02/29/2024,09/20/2024,No,
3-140077,525,03/01/1991,03/01/1993, , ,No,
3-140080,1362,06/01/2006,08/29/2011,03/01/2007, ,No,
3-140081,188,05/01/1995,03/01/2006,07/18/1996,12/27/2022,No,
3-140082,1149,11/01/2001,09/15/2009,12/12/2006, ,No,
3-140082,1237,09/05/2001,09/15/2009,04/05/2002, ,No,
3-140082,1508,06/26/2008,09/15/2009, , ,No,
3-140083,189,02/14/1992,07/20/2015,07/18/1996,12/27/2022,No,
3-140084,1188,12/12/2000,05/16/2003, , ,No,
3-140087,190,12/01/1990,11/30/2001, , ,No,
3-140088,526,04/01/1993,06/01/1994, , ,No,
3-140089,563,04/15/1996,12/19/1997, , ,No,
3-140090,564,09/25/1990,09/27/1990, , ,No,
3-140092,565,12/08/1992,06/30/1993, , ,No,
3-140093,566,06/05/1992,09/01/1996, , ,No,
3-140093,1120,06/24/2003,05/09/2005, , ,No,
3-140093,1804,04/22/2010,03/04/2011, , ,No,
3-140093,2293,06/09/2016,03/07/2017,09/23/2016,03/07/2017,No,
3-140094,2242,10/19/1998,06/28/1999, , ,No,
3-140097,191,03/01/1988,11/14/2013,06/21/1991,11/14/2013,Yes,
3-140099,515,09/01/1990,11/01/1994, , ,No,
3-140101,1039,06/14/1996, ,06/14/1996, ,No,
3-140101,1553,09/11/2008,03/03/2009,09/11/2008,03/03/2009,No,
3-140101,1972,07/15/2011, ,07/15/2011, ,No,
3-140102,1306,04/13/2000,08/30/2001,04/12/2000, ,No,
3-140103,192,02/27/1992,09/07/2004, , ,No,
3-140104,2404,03/13/2023, ,01/08/2024, ,No,
3-140105,567,05/01/1993,09/19/1997, , ,No,
3-140106,568,10/08/1991,06/11/1992, , ,No,
3-140107,193,03/01/1990,12/18/2018,11/01/1990,01/10/2019,No,
3-140114,194,05/03/1989,02/28/2003, , ,No,
3-140116,1048,02/26/1993,04/02/1996, , ,No,
3-140122,195,09/16/1996,07/19/2000, , ,No,
3-140122,196,05/09/1997,07/19/2000, , ,No,
3-140123,1314,10/30/2002,11/29/2010,01/06/2003,05/21/2018,No,
3-140123,1503,06/18/2008,04/14/2010,01/06/2003,05/21/2018,No,
3-140125,1141,04/22/2004,09/22/2004, , ,No,
3-140126,1271,04/23/1999,05/03/2002, , ,No,
3-140127,197,08/01/1990,08/10/1999, , ,No,
3-140130,569,02/23/1995,03/12/1996, , ,No,
3-140131,1442,03/17/2008,03/17/2008, , ,No,
3-140136,198,05/12/1994,12/08/2022,07/18/1996,12/27/2022,No,
3-140137,199,08/01/1990,10/30/2024,07/05/2022,10/30/2024,No,
3-140137,2353,01/25/1994,10/30/2024,07/05/2022,10/30/2024,Yes,
3-140140,200,01/12/1993,02/08/1999, , ,No,
3-140143,570,06/01/1990,12/01/1990, , ,No,
3-140146,571,03/01/1990,03/01/1990, , ,No,
3-140149,1136,02/27/2004,09/01/2022,03/08/2005, ,Yes,
3-140150,572,02/01/1992,02/18/1997, , ,No,
3-140151,1275,10/05/1999,08/08/2006,08/08/2006,10/16/2006,No,
3-140153,513,01/01/1990,01/01/1990, , ,No,
3-140158,573,08/01/1989,08/01/1989, , ,No,
3-140159,1296,12/22/1999,03/16/2005,12/22/1999, ,No,
3-140160,201,01/01/1986,03/11/2005, , ,No,
3-140163,574,04/01/1991,06/30/1994, , ,No,
3-140167,575,11/01/1990,09/01/1991, , ,No,
3-140168,1406,04/18/2007,11/09/2007,04/23/2007, ,No,
3-140173,576,06/01/1990,09/01/1991, , ,No,
3-140177,919,10/07/1993,10/07/1995, , ,No,
3-140178,178,10/02/1996,12/06/2013, , ,No,
3-140178,202,06/06/1996,12/06/2013, , ,No,
3-140179,577,09/01/1990,09/01/1990, , ,No,
3-140187,578,10/01/1990,10/01/1990, , ,No,
3-140190,1038,10/01/1990,06/21/2017,10/01/1990, ,No,
3-140191,957,01/05/1998,06/01/2005, , ,No,
3-140199,203,10/01/1990,08/04/2000, , ,No,
3-140203,579,12/27/1993,01/15/1994, , ,No,
3-140205,1101,01/28/1999,02/12/2003, , ,No,
3-140206,204,11/01/1990,03/11/2005, , ,No,
